FID,latitude,longitude,brightness,acq_date,acq_time,confidence,frp,local_time,RASTERVALU
151,38.859000000000002,116.176000000000000,316.199999999999990,8/7/2014 0:00:00,5,23,8.400000000000000,13,12
152,38.917000000000002,115.910000000000000,323.899999999999980,6/18/2006 0:00:00,3,62,10.000000000000000,11,12
153,38.780999999999999,116.617999999999990,313.399999999999980,8/22/2008 0:00:00,5,55,8.600000000000000,13,12
154,38.893000000000001,116.063999999999990,311.699999999999990,2/3/2008 0:00:00,5,50,18.600000000000001,13,12
155,38.923000000000002,115.926000000000000,314.500000000000000,8/5/2005 0:00:00,5,30,8.400000000000000,13,12
156,38.783999999999999,116.631000000000000,311.199999999999990,10/11/2013 0:00:00,3,36,7.200000000000000,11,12
157,38.905999999999999,116.021000000000000,310.500000000000000,2/18/2006 0:00:00,6,39,22.899999999999999,14,1
158,38.926000000000002,115.926000000000000,318.500000000000000,7/18/2012 0:00:00,3,58,12.100000000000000,11,12
159,38.777999999999999,116.677000000000010,314.000000000000000,9/2/2008 0:00:00,3,49,7.100000000000000,11,12
160,38.777999999999999,116.677000000000010,314.500000000000000,7/30/2011 0:00:00,5,59,8.600000000000000,13,12
161,38.777999999999999,116.677000000000010,314.000000000000000,9/2/2008 0:00:00,3,49,7.100000000000000,11,12
162,38.777999999999999,116.677000000000010,314.500000000000000,7/30/2011 0:00:00,5,59,8.600000000000000,13,12
163,38.859999999999999,116.269000000000010,316.500000000000000,5/11/2011 0:00:00,5,66,11.199999999999999,13,12
164,38.911000000000001,116.009000000000000,312.199999999999990,2/15/2004 0:00:00,5,53,16.199999999999999,13,14
165,38.930999999999997,115.914000000000000,308.000000000000000,6/14/2007 0:00:00,14,23,12.500000000000000,22,12
166,38.921999999999997,115.962000000000000,314.899999999999980,5/11/2011 0:00:00,5,62,14.100000000000000,13,12
167,38.862000000000002,116.271000000000000,316.899999999999980,5/13/2012 0:00:00,5,67,9.900000000000000,13,12
168,38.781999999999996,116.677000000000010,314.699999999999990,7/17/2014 0:00:00,3,62,9.600000000000000,11,12
169,38.835999999999999,116.408000000000000,310.000000000000000,10/14/2009 0:00:00,5,16,10.800000000000001,13,12
170,38.923000000000002,115.967000000000000,318.500000000000000,7/6/2014 0:00:00,5,49,11.400000000000000,13,12
