latitude,longitude,brightness,acq_date,confidence,frp
39.015,115.725,326.9,2007-06-15 05:00:00,55,12.8
39.016,115.72,317.6,2014-08-25 03:00:00,29,10.7
39.009,115.757,329.5,2005-06-20 03:00:00,82,21.4
39.014,115.733,318.2,2014-08-25 03:00:00,27,12.1
39.036,115.619,334.2,2007-06-17 05:00:00,67,24.2
39.012,115.762,331.4,2006-06-18 03:00:00,63,21.3
39.097,115.315,318,2007-04-01 02:00:00,69,102.5
39.017,115.737,325.9,2007-06-15 05:00:00,61,11.4
39.013,115.759,332.6,2005-06-20 05:00:00,85,24.3
39.043,115.603,333.7,2007-06-17 05:00:00,48,22.8
39.09,115.36,321.8,2013-11-15 04:00:00,60,55.9
39.094,115.344,315.1,2012-11-26 06:00:00,63,24.1
39.095,115.339,344.1,2013-11-15 04:00:00,92,137.2
39.035,115.661,333.6,2006-06-18 03:00:00,86,21.5
39.099,115.324,319.8,2013-11-17 05:00:00,72,39.3
39.066,115.503,325.9,2007-06-17 05:00:00,51,15
39.034,115.672,325.8,2006-06-18 03:00:00,73,9.9
39.045,115.616,344.1,2007-06-17 05:00:00,92,46.5
39.103,115.31,326.5,2005-05-01 05:00:00,80,18.8
39.095,115.354,328.3,2013-11-15 04:00:00,81,77.7
39.018,115.76,318.2,2007-06-15 04:00:00,59,27.8
39.069,115.493,313.2,2007-06-17 04:00:00,30,13.1
39.099,115.334,319.3,2013-11-15 04:00:00,71,50.6
39.024,115.734,321.4,2007-06-15 04:00:00,74,41.8
39.068,115.516,324.5,2007-06-17 05:00:00,44,13.3
39.058,115.572,337,2007-06-17 05:00:00,52,30
39.025,115.75,309.9,2007-06-14 14:00:00,68,16.9
39.129,115.209,312.9,2012-03-07 03:00:00,56,17.2
39.063,115.569,310.3,2007-06-16 14:00:00,67,26.2
39.056,115.613,326.8,2006-06-23 03:00:00,75,17.7
39.067,115.587,305.5,2007-06-16 14:00:00,9,18.8
39.067,115.58,308.8,2007-06-16 14:00:00,42,25.1
39.067,115.587,305.5,2007-06-16 14:00:00,9,18.8
39.066,115.596,331.1,2005-06-23 06:00:00,80,12.4
39.074,115.554,326.4,2007-06-17 05:00:00,49,17.3
39.084,115.505,330.3,2013-03-18 06:00:00,83,36.6
39.118,115.326,310.6,2011-03-06 05:00:00,40,10.5
39.084,115.508,320.1,2013-03-18 04:00:00,72,103.5
39.09,115.478,321.9,2007-06-15 05:00:00,67,10.1
39.046,115.711,311.4,2013-09-05 05:00:00,47,8.7
39.066,115.616,326.6,2006-06-23 03:00:00,74,16.4
39.085,115.517,337.6,2013-03-18 06:00:00,88,49.5
39.048,115.712,315.4,2013-08-31 03:00:00,64,9.8
39.049,115.71,312.6,2014-08-18 03:00:00,40,7.2
39.082,115.555,326.7,2004-06-22 05:00:00,54,11.2
39.084,115.566,326.7,2004-06-22 05:00:00,67,12
39.127,115.348,312.2,2013-11-03 03:00:00,36,12.7
39.133,115.318,313.9,2012-04-05 06:00:00,54,11.9
39.052,115.75,313.2,2013-09-05 05:00:00,57,11.7
39.124,115.371,324.4,2013-11-03 03:00:00,77,26.6
39.131,115.334,314.8,2005-03-29 14:00:00,86,36.7
39.091,115.553,330.2,2004-06-22 05:00:00,68,17.2
39.133,115.331,317.3,2007-04-02 03:00:00,68,14.5
39.132,115.342,334.5,2007-04-02 03:00:00,86,38.6
39.054,115.755,311,2014-09-03 03:00:00,46,8.2
39.054,115.755,316.2,2014-04-01 05:00:00,65,10.6
39.054,115.755,311,2014-09-03 03:00:00,46,8.2
39.054,115.755,316.2,2014-04-01 05:00:00,65,10.6
